Date,RELIANCE.NS
2022-09-20,1151.1578369140625
2022-09-21,1154.33154296875
2022-09-22,1143.453857421875
2022-09-23,1122.020751953125
2022-09-26,1093.435546875
2022-09-27,1102.12841796875
2022-09-28,1072.7843017578125
2022-09-29,1069.4957275390625
2022-09-30,1093.61962890625
2022-10-03,1089.8250732421875
2022-10-04,1109.92431640625
2022-10-06,1114.0177001953125
2022-10-07,1118.732177734375
2022-10-10,1106.5208740234375
2022-10-11,1084.4896240234375
2022-10-12,1092.4696044921875
2022-10-13,1095.9422607421875
2022-10-14,1090.376953125
2022-10-17,1107.8775634765625
2022-10-18,1127.425048828125
2022-10-19,1147.0413818359375
2022-10-20,1150.123046875
2022-10-21,1136.78466796875
2022-10-24,1140.5792236328125
2022-10-25,1122.963623046875
2022-10-27,1127.3790283203125
2022-10-28,1161.87451171875
2022-10-31,1172.6600341796875
2022-11-01,1163.576171875
2022-11-02,1170.8431396484375
2022-11-03,1175.212646484375
2022-11-04,1192.50634765625
2022-11-07,1198.87646484375
2022-11-09,1197.6806640625
2022-11-10,1183.192626953125
2022-11-11,1210.467041015625
2022-11-14,1204.602783203125
2022-11-15,1199.198486328125
2022-11-16,1192.3223876953125
2022-11-17,1195.404052734375
2022-11-18,1194.760009765625
2022-11-21,1173.2579345703125
2022-11-22,1179.7659912109375
2022-11-23,1176.0865478515625
2022-11-24,1186.228271484375
2022-11-25,1203.935791015625
2022-11-28,1245.307373046875
2022-11-29,1247.446044921875
2022-11-30,1256.25390625
2022-12-01,1252.5513916015625
2022-12-02,1252.0223388671875
2022-12-05,1233.7628173828125
2022-12-06,1237.327392578125
2022-12-07,1219.06787109375
2022-12-08,1218.492919921875
2022-12-09,1200.0263671875
2022-12-12,1201.8660888671875
2022-12-13,1207.3394775390625
2022-12-14,1202.969970703125
2022-12-15,1185.8831787109375
2022-12-16,1180.0189208984375
2022-12-19,1195.5189208984375
2022-12-20,1205.86767578125
2022-12-21,1188.7119140625
2022-12-22,1185.6302490234375
